id,publication_year,cited_by_count,author_ids
https://openalex.org/W2470673105,2016,4541,"['https://openalex.org/A5101461004', 'https://openalex.org/A5089413311', 'https://openalex.org/A5111222692', 'https://openalex.org/A5101727205', 'https://openalex.org/A5090351022', 'https://openalex.org/A5060225743']"
https://openalex.org/W3019051739,2020,603,"['https://openalex.org/A5013727792', 'https://openalex.org/A5048877432', 'https://openalex.org/A5084956572', 'https://openalex.org/A5034372799', 'https://openalex.org/A5046059963', 'https://openalex.org/A5081236916', 'https://openalex.org/A5112523317', 'https://openalex.org/A5105769246', 'https://openalex.org/A5083664336', 'https://openalex.org/A5069885186', 'https://openalex.org/A5025218537', 'https://openalex.org/A5034546418', 'https://openalex.org/A5075585231', 'https://openalex.org/A5026852712', 'https://openalex.org/A5015080044', 'https://openalex.org/A5028549815', 'https://openalex.org/A5111367077', 'https://openalex.org/A5064897268', 'https://openalex.org/A5009136464', 'https://openalex.org/A5082358191', 'https://openalex.org/A5026230453', 'https://openalex.org/A5059787882', 'https://openalex.org/A5003579441', 'https://openalex.org/A5052308997']"
https://openalex.org/W2346504520,2010,594,"['https://openalex.org/A5016338317', 'https://openalex.org/A5036765731', 'https://openalex.org/A5028932589']"
https://openalex.org/W1882303714,2014,396,"['https://openalex.org/A5059787882', 'https://openalex.org/A5070491108', 'https://openalex.org/A5011488053', 'https://openalex.org/A5001656908', 'https://openalex.org/A5110311576', 'https://openalex.org/A5073875709', 'https://openalex.org/A5032926589', 'https://openalex.org/A5111672074', 'https://openalex.org/A5025218537']"
https://openalex.org/W3101335933,2009,334,"['https://openalex.org/A5042890616', 'https://openalex.org/A5084214981', 'https://openalex.org/A5039841997', 'https://openalex.org/A5070491108', 'https://openalex.org/A5014048759', 'https://openalex.org/A5033081182', 'https://openalex.org/A5020744129', 'https://openalex.org/A5031799782', 'https://openalex.org/A5059787882', 'https://openalex.org/A5111987183', 'https://openalex.org/A5025218537', 'https://openalex.org/A5046546654']"
https://openalex.org/W4389523957,2023,306,"['https://openalex.org/A5084658659', 'https://openalex.org/A5024845063', 'https://openalex.org/A5070962435', 'https://openalex.org/A5044588650', 'https://openalex.org/A5005898634', 'https://openalex.org/A5089413311']"
https://openalex.org/W2006218290,2012,300,"['https://openalex.org/A5059787882', 'https://openalex.org/A5070491108', 'https://openalex.org/A5014048759', 'https://openalex.org/A5033081182', 'https://openalex.org/A5042890616', 'https://openalex.org/A5039841997', 'https://openalex.org/A5031799782', 'https://openalex.org/A5025218537', 'https://openalex.org/A5046546654']"
https://openalex.org/W2574248532,2014,270,"['https://openalex.org/A5100550303', 'https://openalex.org/A5089413311', 'https://openalex.org/A5089539629']"
https://openalex.org/W2954734393,2019,258,"['https://openalex.org/A5002764564', 'https://openalex.org/A5004346658', 'https://openalex.org/A5091517351', 'https://openalex.org/A5055828853', 'https://openalex.org/A5022892344', 'https://openalex.org/A5032863837', 'https://openalex.org/A5070637193', 'https://openalex.org/A5080819705', 'https://openalex.org/A5074089902', 'https://openalex.org/A5009047696', 'https://openalex.org/A5064662970', 'https://openalex.org/A5034242042']"
https://openalex.org/W4389636360,2023,166,"['https://openalex.org/A5002621773', 'https://openalex.org/A5109972562', 'https://openalex.org/A5047951879', 'https://openalex.org/A5069870254', 'https://openalex.org/A5101201263', 'https://openalex.org/A5089413311']"
