display_name,cited_by_count,h_index,works_count,country_code,id,works_api_url
Albert-László Barabási,706.0,3.0,6.0,US,https://openalex.org/A5108262995,https://api.openalex.org/works?filter=author.id:A5108262995
Sou Hyun Jang,364.0,11.0,69.0,KR,https://openalex.org/A5002073039,https://api.openalex.org/works?filter=author.id:A5002073039
Mailun Zhang,1.0,1.0,2.0,US,https://openalex.org/A5113036723,https://api.openalex.org/works?filter=author.id:A5113036723
Rodrigo Plaza,3.0,1.0,5.0,ES,https://openalex.org/A5113099980,https://api.openalex.org/works?filter=author.id:A5113099980
Daniel Putman,361.0,10.0,42.0,US,https://openalex.org/A5040651832,https://api.openalex.org/works?filter=author.id:A5040651832
Zhehan Zhang,437.0,12.0,42.0,CN,https://openalex.org/A5042989803,https://api.openalex.org/works?filter=author.id:A5042989803
Byunghwee Lee,69.0,4.0,14.0,KR,https://openalex.org/A5039707142,https://api.openalex.org/works?filter=author.id:A5039707142
Anna‐Carolina Haensch,70.0,4.0,29.0,DE,https://openalex.org/A5037838698,https://api.openalex.org/works?filter=author.id:A5037838698
Liam Dugan,484.0,6.0,30.0,US,https://openalex.org/A5059969678,https://api.openalex.org/works?filter=author.id:A5059969678
Niek C. de Schipper,63.0,5.0,11.0,NL,https://openalex.org/A5037923102,https://api.openalex.org/works?filter=author.id:A5037923102
Ji Sung Yoon,1404.0,21.0,116.0,KR,https://openalex.org/A5091604689,https://api.openalex.org/works?filter=author.id:A5091604689
Robin Dunbar,200.0,4.0,8.0,,https://openalex.org/A5112025912,https://api.openalex.org/works?filter=author.id:A5112025912
John Bryden,1604.0,18.0,164.0,NO,https://openalex.org/A5085714892,https://api.openalex.org/works?filter=author.id:A5085714892
Haruhiko Tashiro,150.0,6.0,16.0,JP,https://openalex.org/A5012739163,https://api.openalex.org/works?filter=author.id:A5012739163
Anders Giovanni Møller,42.0,2.0,6.0,DK,https://openalex.org/A5020418858,https://api.openalex.org/works?filter=author.id:A5020418858
Hause Lin,1480.0,16.0,74.0,CA,https://openalex.org/A5022754313,https://api.openalex.org/works?filter=author.id:A5022754313
